time,location,Y
2025-09-01,aguascalientes,1.7272727272727273
2025-09-01,baja california,1.95
2025-09-01,baja california sur,1.9772727272727273
2025-09-01,campeche,2.606060606060606
2025-09-01,chiapas,1.7926829268292683
2025-09-01,chihuahua,1.7352941176470589
2025-09-01,coahuila de zaragoza,1.71875
2025-09-01,colima,2.0
2025-09-01,distrito federal,7.880952380952381
2025-09-01,durango,2.0
2025-09-01,guanajuato,2.582089552238806
2025-09-01,guerrero,2.317073170731707
2025-09-01,hidalgo,3.3488372093023258
2025-09-01,jalisco,2.360655737704918
2025-09-01,mexico,6.072649572649572
2025-09-01,michoacan de ocampo,2.2115384615384617
2025-09-01,morelos,3.111111111111111
2025-09-01,nayarit,2.736842105263158
2025-09-01,nuevo leon,1.9261363636363635
2025-09-01,oaxaca,2.7115384615384617
2025-09-01,puebla,2.5925925925925926
2025-09-01,queretaro,3.6323529411764706
2025-09-01,quintana roo,2.6341463414634148
2025-09-01,san luis potosi,2.264705882352941
2025-09-01,sinaloa,1.4796747967479675
2025-09-01,sonora,1.48
2025-09-01,tabasco,1.7317073170731707
2025-09-01,tamaulipas,2.189189189189189
2025-09-01,tlaxcala,2.7
2025-09-01,veracruz,2.008
2025-09-01,yucatan,3.2672413793103448
2025-09-01,zacatecas,2.3
