2025-08-27 15:00:30 | INFO     | __main__:<module>:153 | user isaac@entropy.tech logged in
2025-08-27 15:00:50 | INFO     | __main__:<module>:153 | user isaac@entropy.tech logged in
2025-08-27 15:00:51 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-08-27 15:00:52 | INFO     | __main__:<module>:153 | user isaac@entropy.tech logged in
2025-08-27 15:00:52 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-08-27 15:01:07 | INFO     | __main__:<module>:153 | user isaac@entropy.tech logged in
2025-08-27 15:01:07 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-08-27 15:01:11 | INFO     | __main__:<module>:153 | user isaac@entropy.tech logged in
2025-08-27 15:01:11 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-08-27 15:01:13 | INFO     | __main__:<module>:153 | user isaac@entropy.tech logged in
2025-08-27 15:01:13 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-08-27 15:01:14 | INFO     | __main__:<module>:153 | user isaac@entropy.tech logged in
2025-08-27 15:01:14 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-08-27 15:01:18 | INFO     | __main__:<module>:153 | user isaac@entropy.tech logged in
2025-08-27 15:01:19 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-08-27 15:01:21 | INFO     | __main__:<module>:153 | user isaac@entropy.tech logged in
2025-08-27 15:01:21 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-08-27 15:01:24 | INFO     | __main__:<module>:153 | user isaac@entropy.tech logged in
2025-08-27 15:01:24 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-08-27 15:01:26 | INFO     | __main__:<module>:153 | user isaac@entropy.tech logged in
2025-08-27 15:01:26 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-08-27 15:01:28 | INFO     | __main__:<module>:153 | user isaac@entropy.tech logged in
2025-08-27 15:01:28 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-08-27 15:01:30 | INFO     | __main__:<module>:153 | user isaac@entropy.tech logged in
2025-08-27 15:01:30 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-08-27 15:01:33 | INFO     | __main__:<module>:153 | user isaac@entropy.tech logged in
2025-08-27 15:01:33 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-08-27 15:01:35 | INFO     | __main__:<module>:153 | user isaac@entropy.tech logged in
2025-08-27 15:01:36 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-08-27 15:01:41 | INFO     | __main__:<module>:153 | user isaac@entropy.tech logged in
2025-08-27 15:01:41 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-08-27 15:01:42 | INFO     | __main__:<module>:153 | user isaac@entropy.tech logged in
2025-08-27 15:01:43 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-08-27 15:01:49 | INFO     | __main__:<module>:153 | user isaac@entropy.tech logged in
2025-08-27 15:01:49 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-08-27 15:01:49 | INFO     | __main__:<module>:153 | user isaac@entropy.tech logged in
2025-08-27 15:01:49 | INFO     | __main__:<module>:153 | user isaac@entropy.tech logged in
2025-08-27 15:01:49 | INFO     | __main__:<module>:153 | user isaac@entropy.tech logged in
2025-08-27 15:01:50 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-08-27 15:01:50 | INFO     | __main__:<module>:153 | user isaac@entropy.tech logged in
2025-08-27 15:01:50 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-08-27 15:01:50 | INFO     | __main__:<module>:153 | user isaac@entropy.tech logged in
2025-08-27 15:01:50 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-08-27 15:01:51 | INFO     | __main__:<module>:153 | user isaac@entropy.tech logged in
2025-08-27 15:01:51 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-08-27 15:01:51 | INFO     | __main__:<module>:153 | user isaac@entropy.tech logged in
2025-08-27 15:01:51 | INFO     | __main__:<module>:153 | user isaac@entropy.tech logged in
2025-08-27 15:01:52 | INFO     | __main__:<module>:153 | user isaac@entropy.tech logged in
2025-08-27 15:01:52 | INFO     | __main__:<module>:153 | user isaac@entropy.tech logged in
2025-08-27 15:01:52 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-08-27 15:01:56 | INFO     | __main__:<module>:153 | user isaac@entropy.tech logged in
2025-08-27 15:01:57 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-08-27 15:02:00 | INFO     | __main__:<module>:153 | user isaac@entropy.tech logged in
2025-08-27 15:02:00 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-08-27 15:02:00 | INFO     | __main__:<module>:153 | user isaac@entropy.tech logged in
2025-08-27 15:02:00 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-08-27 15:02:01 | INFO     | __main__:<module>:153 | user isaac@entropy.tech logged in
2025-08-27 15:02:01 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-08-27 15:02:03 | INFO     | __main__:<module>:153 | user isaac@entropy.tech logged in
2025-08-27 15:02:03 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-08-27 15:02:03 | INFO     | __main__:<module>:153 | user isaac@entropy.tech logged in
2025-08-27 15:02:03 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-08-27 15:02:03 | INFO     | Murray.main:run_geo_analysis_streamlit_app:1635 | Starting run_geo_analysis_streamlit_app............
2025-08-27 15:02:03 | INFO     | Murray.main:run_geo_analysis_streamlit_app:1644 | Step 1: Generating market correlations.....
2025-08-27 15:02:03 | INFO     | Murray.main:run_geo_analysis_streamlit_app:1649 | Market correlations generated successfully.
2025-08-27 15:02:03 | INFO     | Murray.main:run_geo_analysis_streamlit_app:1652 | Step 2: Finding best groups for control and treatment.....
2025-08-27 15:02:03 | INFO     | Murray.main:BetterGroups:909 | Starting single-cell mode
2025-08-27 15:02:04 | INFO     | Murray.main:BetterGroups:947 | Processed 1/35000 groups
2025-08-27 15:02:28 | INFO     | Murray.main:BetterGroups:947 | Processed 3500/35000 groups
2025-08-27 15:02:51 | INFO     | Murray.main:BetterGroups:947 | Processed 7000/35000 groups
2025-08-27 15:03:11 | INFO     | Murray.main:BetterGroups:947 | Processed 10500/35000 groups
2025-08-27 15:03:34 | INFO     | Murray.main:BetterGroups:947 | Processed 14000/35000 groups
2025-08-27 15:03:53 | INFO     | Murray.main:BetterGroups:947 | Processed 17500/35000 groups
2025-08-27 15:04:14 | INFO     | Murray.main:BetterGroups:947 | Processed 21000/35000 groups
2025-08-27 15:04:27 | INFO     | Murray.main:BetterGroups:947 | Processed 24500/35000 groups
2025-08-27 15:04:41 | INFO     | Murray.main:BetterGroups:947 | Processed 28000/35000 groups
2025-08-27 15:04:49 | INFO     | Murray.main:BetterGroups:947 | Processed 31500/35000 groups
2025-08-27 15:04:57 | INFO     | Murray.main:BetterGroups:947 | Processed 35000/35000 groups
2025-08-27 15:04:57 | INFO     | Murray.main:BetterGroups:948 | All groups processed. Results count: 35000
2025-08-27 15:04:57 | INFO     | Murray.main:run_geo_analysis_streamlit_app:1673 | BetterGroups completed successfully. Results for 7 sizes
2025-08-27 15:04:57 | INFO     | Murray.main:run_geo_analysis_streamlit_app:1678 | Step 3: Evaluating sensitivity for different deltas and periods.....
2025-08-27 15:05:59 | INFO     | Murray.main:evaluate_sensitivity:1511 | Period 30 completed for size 4. MDE found: 0.14 with p-value: 0.0276, power: 0.9000
2025-08-27 15:07:01 | INFO     | Murray.main:evaluate_sensitivity:1511 | Period 35 completed for size 4. MDE found: 0.13 with p-value: 0.0262, power: 0.8800
